RightHandPosX,RightHandPosY,RightHandPosZ,RightShoulderPosX,RightShoulderPosY,RightShoulderPosZ,RightAnklePosX,RightAnklePosY,RightAnklePosZ
-0.1319538,-0.1235895,2.884947,-0.1049738,0.6446424,2.816452,0.121407,-0.1282738,2.891192
-0.1319538,-0.1235895,2.884947,-0.1049738,0.6446424,2.816452,0.121407,-0.1282738,2.891192
-0.1319538,-0.1235895,2.884947,-0.1049738,0.6446424,2.816452,0.121407,-0.1282738,2.891192
-0.1319538,-0.1235895,2.884947,-0.1049738,0.6446424,2.816452,0.121407,-0.1282738,2.891192
-0.1319538,-0.1235895,2.884947,-0.1049738,0.6446424,2.816452,0.121407,-0.1282738,2.891192
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1322637,-0.1239901,2.884511,-0.1052499,0.6456647,2.81584,0.1214342,-0.1281724,2.890963
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1326966,-0.1245257,2.88406,-0.1056013,0.6469392,2.815111,0.1215014,-0.1280452,2.89077
-0.1330369,-0.1248825,2.883689,-0.1059344,0.6478752,2.814478,0.121601,-0.1279767,2.890649
