RightHandPosX,RightHandPosY,RightHandPosZ,RightShoulderPosX,RightShoulderPosY,RightShoulderPosZ,RightAnklePosX,RightAnklePosY,RightAnklePosZ
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
-0.7342212,1.286207,3.057512,-0.2043658,1.050615,3.056829,-0.1076747,-0.2103344,3.087022
