angle
0
0
0
0
1차
0
0
0
0
1차
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1차
2차
3차
0
0
0
0
0
0
0
0
1차
0
0
0
0
