RightHandPosX,RightHandPosY,RightHandPosZ,RightShoulderPosX,RightShoulderPosY,RightShoulderPosZ,RightAnklePosX,RightAnklePosY,RightAnklePosZ
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
3,0.47,0,3,0.47,0,3,0.47,0
